Country,Year and survey,Multidimensional Poverty Index Value,Population in mulitidmensional poverty(%),Population in mulitidmensional poverty head count (thosands),intensity of deprivation(%),People who are multidimensionally poor and deprived in Nutrition  (%),People who are multidimensionally poor and deprived in Child Mortality  (%),People who are multidimensionally poor and deprived in Years of schooling (%),People who are multidimensionally poor and deprived in School attendance (%),People who are multidimensionally poor and deprived in Cooking fuel  (%),People who are multidimensionally poor and deprived in Sanitation  (%),People who are multidimensionally poor and deprived in Drinking water (%),People who are multidimensionally poor and deprived in Electricity  (%),People who are multidimensionally poor and deprived in Housing  (%),People who are multidimensionally poor and deprived in Assets (%)
Afghanistan,2023,0.268,52.1779074733902,21630.2265625,51.4260359815343,0.0,8.4,37.4642507887058,43.7936634392985,0.0,37.8541336112415,26.6,13.0268606751353,50.6503377312071,29.0822718906707
Albania,2018,0.0027298534678841,0.69868923748504,20.2216796875,39.1,0.45833108077254,0.00242003494772,0.5,0.39043250216715,0.27959882345547,0.14388693344144,0.20461265869194,0.0,0.13365115517141,0.04933910705856
Algeria,2019,0.0054090931224494,1.38083493006436,597.826232910156,39.2,0.78593005603601,0.22711809833873,0.96104808585799,0.63900268486719,0.1,0.6,0.4,0.1654057732489,0.44245002649196,0.13261279150804
Armenia,2016,0.0006040731708453,0.16836919680984,4.91434764862061,35.9,0.11520013093045,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.0
Bangladesh,0,0.174690899232157,37.5621050790166,59334.953125,46.5072175440307,16.417611362219,2.26985649504323,25.2834442104683,9.50775657740889,35.8574413200914,28.2264742885185,4.09423095398903,23.8470070813531,35.7540444080837,26.2284146302705
Belize,2016,0.0199021615890313,4.94681879681124,18.041296005249,40.2,3.5,1.69387070357979,0.66868224445522,1.65755607987417,3.24488332242194,2.3,0.7,2.6,3.02536232866037,1.2570755915217
Benin,2022,0.289509800518679,55.9233279975652,7694.7705078125,51.7690579021485,26.0604632923993,6.82273226628715,38.5764277403171,28.7573385630234,54.3967546689319,52.2123021130252,24.800809910866,34.9440811664505,33.7687974796415,20.3440100083897
Bolivia,0,0.166649613755149,33.8954404721025,3067.77465820313,49.1657908656798,16.9669771125605,4.20875317223812,15.9100777393573,12.9576418814091,27.0542253142047,33.23200378925,15.4275589977503,22.3441726319434,32.7138637680369,19.0671305412433
Bosnia and Herzegovina,2012,0.0083074962435723,2.19013349417354,80.3803863525391,37.9,1.98544765056779,0.0,0.20065272851005,0.1590612145752,1.47509691884154,0.26175203114097,0.03835760802836,0.1,0.04973027022473,0.08562306899058
Burkina Faso,0,0.51220238899774,83.6868980697664,13537.609375,61.2046091815636,47.3185546142056,17.0110265487265,68.3836781152164,52.3211896202884,83.1308873160289,76.1468466396841,41.1218696780377,81.3309163275858,71.4904351398662,13.6399983990147
Burundi,2017,0.408861094240493,75.0974726480373,8641.287109375,54.4440551490622,50.5963754336233,7.9,42.5728049358465,24.0425673786001,74.8542768533414,45.7101691767772,42.7800883963835,73.5146600426616,70.6027798756319,53.2627978702206
Cambodia,2022,0.0703679147927832,16.6446969641142,2863.1748046875,42.276476973114,8.58363790733903,0.50934680839902,10.4784790608469,9.8,12.0754360629248,8.6318650782992,5.03761116603863,4.58290018046882,4.59524754181044,3.71400294759731
Cameroon,0,0.25811881180362,47.6,9639.177734375,54.1782554247915,27.961646637225,11.2912199986458,24.2063895594503,18.1138942549019,46.8591311374553,36.2904122187996,33.3300963628909,38.8107368767054,40.4364147115659,24.1676185882048
Central African Republic,2019,0.511820355869563,84.1228949240453,4159.6279296875,60.8419808105376,44.4114035784286,36.738831592768,46.3072803322047,30.7664539952303,83.6484077835559,78.4208354813992,62.7165888203304,77.5,78.2231411704657,66.1182667071882
Chad,2015,0.578073102175975,89.4,13089.6416015625,64.6877569701494,46.0,40.0989144120253,57.6758968239853,52.5251229056136,88.3,85.3,61.2,85.1080371866843,86.0,45.8239837140595
China,0,0.0409387649857119,9.47352877388308,128040.5703125,43.2138498365817,6.32541500003349,0.8434820462974,5.77618362718422,1.31367497769686,8.46786153791738,4.35269498043423,7.17611175097044,0.31095082393075,0.0,5.45363925726508
Colombia,2016,0.0196595349635455,4.84673934140109,2299.17260742188,40.6,0.0,0.70736031042389,3.85419742544081,0.8059344977207,3.70092884423875,3.50652378627592,3.3,1.4,4.0,1.24273681763569
Comoros,0,0.170724600111134,34.6240789668341,236.007934570312,49.3080553203072,18.5763836081829,3.4151479368683,18.9452902249238,14.3191241280337,33.2254617463011,28.1329382424593,12.1207764063245,21.6919648822707,23.6865203450105,22.6787808835019
Congo,2015,0.113671907100553,24.6857503452597,1258.3759765625,46.0475802885129,12.5823829967583,3.14148534087027,9.7,3.8453131833512,24.026432152315,23.3767930785759,15.1701247792007,20.5223345176568,19.6221073679394,14.0600030229745
"Congo, Democratic Republic of the",2018,0.329653172031942,64.1735421019034,57786.76171875,51.4,38.6270896034697,7.14642775703407,16.4,23.0,63.4723349205926,59.4,50.5708716037737,57.5258031177067,58.1869524641649,48.6
Cote d'Ivoire,2012,0.309629700375285,58.7607035462803,13789.419921875,52.6933276303301,30.2840888762436,11.2026462268437,37.4598682171653,32.8062598329506,56.7228737397382,53.9979084504361,27.0720193794325,37.6186725836189,30.8044439219633,15.8589531404665
Dominican Republic,0,0.0298178973849629,7.26796252679414,687.233703613281,41.0264875128841,0.0,1.5875648962334,5.2871161425144,2.19428785400861,3.67986317980732,3.89839347332797,1.52664848007928,1.71216894144376,6.61918916435526,4.26635068692969
Ecuador,2014,0.0186560805824483,4.65894059317377,747.06689453125,40.0436112230814,2.98894794173112,1.51286605525221,1.63320903457965,0.95928877433963,1.80530010516022,2.85412765242119,2.31472196432418,0.72824988955458,2.39705215403513,2.19855786518978
Egypt,0,0.0319777678740994,7.98124668552558,6853.08056640625,40.066131437953,5.76680001699795,0.99466479713942,4.39648432064061,5.30233126240227,0.0,1.62678125401971,0.48064412225782,0.20863976372929,2.75038026232344,1.74950541585704
Eswatini,2022,0.0329716609433141,7.9847024799794,97.3268585205078,41.293537268278,5.07486904302784,1.09749422215691,2.35162610175904,3.26039126044401,0.0,4.86631201271152,3.73451965925726,4.9224540298926,2.69143477083972,3.78181937378464
Ethiopia,0,0.491362362329492,83.4629120073322,77745.6796875,58.8719409030836,34.9142151092444,7.22550927544283,57.1939106008244,39.8728542676767,83.1302720964492,78.5432427065907,70.1427697735477,77.0223737899582,83.1248711041152,74.8692549623983
Gabon,2021,0.0348407787067384,8.2121763053848,195.180603027344,42.4257558668011,5.09453439364511,1.84601994267193,2.38513023728428,2.7,4.45488139636627,6.85303780884356,4.60477488998811,3.25444395432852,4.03969494644284,3.44308189437202
Gambia,2020,0.179684958955959,38.1,957.809448242188,47.1951361864852,23.5,8.9,12.3135910373976,25.1,37.8,27.0,9.71345551530975,24.7,11.584705166848,3.2
Ghana,2018,0.111366048540154,24.679878805887,7561.31884765625,45.1,12.4,3.4,12.4643563338138,7.89158603960384,24.4981102673917,22.8140108688445,12.3,10.8475920806155,13.6433735091966,7.95880793150936
Guinea,0,0.42091839864222,71.231786010048,7779.63671875,59.091372295908,34.2726602157826,13.8241723846789,50.5422900676684,47.0222382150043,71.1517416637601,62.9535978208187,41.37656003405,64.6541414222865,50.8782665196204,29.654727445716
Guinea-Bissau,2019,0.34,64.4,1267.12365722656,52.9050066532705,32.2,6.93513209712961,40.8,30.7,64.2,61.2,33.9864462955858,45.4449359625553,63.5,12.8
Guyana,2020,0.0071647093309802,1.82361493488328,14.7253532409668,39.2884988707267,1.1164160490278,0.18857817102538,0.5,0.42761815091705,0.94514504071231,0.72967581502817,0.64228089735285,1.06356528138027,1.47664697094591,1.23504212714223
Haiti,2017,0.192024958017014,39.9104736560323,4317.4169921875,48.1,15.5632385259112,3.83407228947609,22.8256973645028,6.5,39.6661215023384,35.1162026061574,28.5999957721733,35.7419224723526,29.0325310024109,31.4
Honduras,2012,0.107662529207116,22.8265595412897,1989.35217285156,47.1654648666485,9.577317155131,1.00980708315444,10.6135449210246,13.6386172063781,21.7278292093229,16.23390834054,7.3591706421985,0.0,20.8516722905441,8.22299741379251
India,2021,0.0688105643495505,16.392806009097,231827.703125,41.9760743288029,11.7990627040162,1.47815727752491,7.72452808375023,3.90598041569622,13.8991980922043,11.2862021820441,2.66442566767012,2.07714949855827,13.606635272793,5.60221967290416
Indonesia,0,0.0276751752961537,6.87293915811853,17367.81640625,40.2668707804039,0.0,1.957591906833,2.94195438620035,2.06521060116544,5.63318867589339,5.06061079162451,4.05996698592636,1.77705880920254,2.95103676609752,3.56640710121671
Iraq,0,0.0524350835947156,13.2670033754851,4266.85693359375,39.5229292634431,9.14068835574367,2.52917562230507,6.61446760518168,9.63081149446553,0.88981944745108,1.88568626557543,2.01108461168416,0.6984309450233,4.70636597749697,0.44633399014601
Jamaica,0,0.021445508221974,5.3086563380269,145.912002563477,40.3972434010387,3.16772952016695,0.0,0.55522128247329,1.33708696957029,2.35157957776909,3.73480076858216,2.69373210241994,1.65070760902654,2.38632403872475,1.10146882588787
Jordan,2018,0.002,0.4,45.1138038635254,35.3463910726669,0.2,0.2,0.2,0.2,0.00940349363076,0.03920153034232,0.1,0.0,0.10763930302364,0.0
Kazakhstan,2011,0.0032208383209367,0.88962741005707,151.823837280273,36.204351220811,0.5955539493612,0.70715304665658,0.04081273491751,0.10613788814156,0.41977974012519,0.04815187094012,0.389849457538,0.00951519084538,0.4677471451748,0.11349271582992
Kenya,2009,0.236745238413692,50.1041597536266,20246.53515625,47.2506154334933,32.2664177942273,5.2828043240465,11.9050974916217,8.38165967137849,49.7274508465832,44.4507312320158,36.7775201391261,48.8399396878711,44.4434328855048,28.394416509494
Kyrgyzstan,2006,0.035682204426793,9.39436234997818,496.252716064453,37.9825719910365,4.40139549686237,6.0960561128629,0.03347398238862,1.74779044010735,8.14263890933547,2.02290394387694,4.44719518077294,0.16170975422137,8.02707929911414,4.59029278421372
Lao PDR,2012,0.209553659249845,40.2411202608951,2623.30981445313,52.0745093305669,21.1995812179965,5.43174851373786,30.9416612461643,16.6408526692394,40.2161651478693,31.7279735473814,18.5286957773857,21.7509794844669,26.6681352350727,15.6631065159634
Lesotho,0,0.19498660622107,42.1709706647299,835.357604980469,46.2371634201319,19.0567577783056,4.01176868100036,15.0347648735643,10.8541929359472,0.0,37.9968938617525,25.6889425611331,41.2962941255605,34.4855831965709,30.6184849144356
Liberia,2020,0.259293731110051,52.3230745242274,2694.35766601563,49.5562872533396,24.6271596421553,6.05625792933654,25.5747370649358,18.8939352809894,51.8094720650556,46.8373737263938,22.8085907841501,47.8360030373382,36.5729383071316,35.4
Madagascar,2009,0.43277051866559,75.7393749529722,16319.7744140625,57.1394362488869,33.2394130636242,6.22532508217495,59.010561370549,26.3763013161784,75.6920264483324,75.3406907713488,56.0427469540557,72.4904751208212,68.9066823672242,55.9595094383023
Malawi,2020,0.231264799198162,49.9250970007948,9752.3125,46.3,22.1600900872093,3.64018802625896,27.6,7.8,49.7291014675856,32.2127410697519,22.282326326732,46.7547662669061,44.9252073138233,36.7855332656577
Mali,0,0.501303773494839,83.725559423171,11713.322265625,59.8746400679293,42.9960665772327,19.3647187097788,68.6023424432449,53.981047768387,83.4700926100048,44.9875823550609,44.7832678246294,76.9618917152231,71.1832949211966,26.1281363682708
Mauritania,2021,0.321,57.4,2718.14868164063,55.9,27.6,5.3,40.1,42.1810905557021,47.3,41.8119054083012,30.0,46.9,46.2,19.9896072032504
Mexico,0,0.0252732992623592,6.01396656817235,7025.408203125,42.0243427958393,3.74095276286054,0.0,1.97492075502256,1.10648440880596,3.47485894978954,3.02016244017695,1.37688926819693,0.44585337541857,3.46772288160871,2.01651968839622
Moldova,0,0.0055009573328608,1.50400841584766,59.9899101257324,36.5753095188665,0.30103520143947,0.09772397888042,0.94384678833797,0.35510369132654,1.24733020363489,0.94797396830003,0.51531180269268,0.12442847715057,0.71885539598699,1.25469437142626
Mongolia,0,0.081109879119062,19.5932831413312,529.357971191406,41.396777933538,6.13194268375481,9.14675620596253,4.49669508707174,1.60746842556738,18.7482801901572,19.4792259917569,12.6018293056387,9.71328746944553,17.3969837089546,3.90958854121038
Montenegro,0,0.0016391029679038,0.3710669222781,2.34960508346558,44.1727049622423,0.09301522083484,0.15914277578603,0.2,0.18849415922658,0.29890352377559,0.16773974461134,0.04226885869686,0.1398908147312,0.17412761920083,0.08364196858093
